iter	RMSE
0	13.75199332
1	13.63827864
2	13.53076354
3	13.43253595
4	13.34592959
5	13.26022659
6	13.18590314
7	13.12152027
8	13.04418387
9	12.98263944
10	12.91334253
11	12.84519755
12	12.79371694
13	12.73110101
14	12.67465296
15	12.62777031
16	12.57972708
17	12.54265045
18	12.51362707
19	12.4756479
20	12.44795289
21	12.41458315
22	12.38503294
23	12.34899614
24	12.33876567
25	12.3058623
26	12.28044647
27	12.25779822
28	12.22933196
29	12.20571257
30	12.17771
31	12.14709647
32	12.12561214
33	12.10752933
34	12.09667278
35	12.07215922
36	12.06430824
37	12.03813459
38	12.01166804
39	11.99465069
40	11.97689296
41	11.96975735
42	11.94708825
43	11.93209173
44	11.91539705
45	11.89503512
46	11.87874132
47	11.85972753
48	11.84796967
49	11.82901016
50	11.81758986
51	11.8050983
52	11.80052565
53	11.79005145
54	11.7812166
55	11.76480983
56	11.75493909
57	11.74300307
58	11.73421348
59	11.72878164
60	11.72082493
61	11.71471218
62	11.70259865
63	11.70018907
64	11.69335933
65	11.68075841
66	11.66949865
67	11.65937375
68	11.65686027
69	11.64339141
70	11.63356157
71	11.63178651
72	11.62277902
73	11.61020432
74	11.60425858
75	11.60356019
76	11.6030341
77	11.59512903
78	11.59322302
79	11.58592932
80	11.57672524
81	11.5759879
82	11.56655182
83	11.55867042
84	11.55199384
85	11.54347614
86	11.53735198
87	11.52982768
88	11.5222641
89	11.52140766
90	11.52063937
91	11.51909891
92	11.51151648
93	11.50650653
94	11.50496493
95	11.49531959
96	11.49130094
97	11.4899634
98	11.48661252
99	11.48242663
100	11.47786325
101	11.47297586
102	11.47097648
103	11.46500285
104	11.46368798
105	11.45957745
106	11.45484314
107	11.4502949
108	11.44605003
109	11.43853729
110	11.43839779
111	11.43291024
112	11.43167448
113	11.42963348
114	11.42655649
115	11.41936406
116	11.41784076
117	11.41753092
118	11.41600948
119	11.41144695
120	11.41117185
121	11.40616715
122	11.40015825
123	11.39384147
124	11.39135052
125	11.38718238
126	11.38395878
127	11.37830848
128	11.37081584
129	11.36448373
130	11.35876749
131	11.35313931
132	11.34847117
133	11.3413203
134	11.33715912
135	11.33479709
136	11.33002762
137	11.32748573
138	11.32530302
139	11.32297349
140	11.32009534
141	11.31982253
142	11.31585174
143	11.31100343
144	11.30777459
145	11.30607241
146	11.30404618
147	11.30198521
148	11.29775169
149	11.29716715
150	11.29445906
151	11.28987346
152	11.28728388
153	11.28351503
154	11.27868396
155	11.2767144
156	11.26953385
157	11.26562026
158	11.26273851
159	11.26193626
160	11.25847386
161	11.25837478
162	11.25659488
163	11.25656955
164	11.25236228
165	11.24931694
166	11.24719027
167	11.24459891
168	11.24230002
169	11.2394404
170	11.23739206
171	11.23101411
172	11.23087447
173	11.22791138
174	11.22282239
175	11.21712996
176	11.2140798
177	11.20828882
178	11.20462324
179	11.20301904
180	11.20030059
181	11.19734825
182	11.19349157
183	11.19193736
184	11.1919343
185	11.18685091
186	11.18480739
187	11.17903272
188	11.17534602
189	11.17203271
190	11.17062801
191	11.16617283
192	11.16229154
193	11.15957397
194	11.15643281
195	11.15230997
196	11.14908058
197	11.14647633
198	11.1428357
199	11.13837933
200	11.13341396
201	11.1300703
202	11.12721857
203	11.12257598
204	11.12250857
205	11.12025122
206	11.11699561
207	11.11371615
208	11.11370741
209	11.11028335
210	11.10675394
211	11.10212399
212	11.09717355
213	11.0943336
214	11.09171285
215	11.08663232
216	11.08373446
217	11.08096447
218	11.07838658
219	11.07507155
220	11.07245405
221	11.06963004
222	11.06679159
223	11.06419906
224	11.05938071
225	11.05686513
226	11.05358966
227	11.05047341
228	11.04772346
229	11.0459328
230	11.0415384
231	11.03956782
232	11.03806126
