iter	Passed	Remaining
0	1	1757
1	3	1651
2	4	1635
3	6	1582
4	7	1584
5	9	1556
6	10	1533
7	12	1518
8	13	1504
9	15	1488
10	16	1492
11	18	1499
12	19	1509
13	21	1509
14	22	1509
15	24	1524
16	26	1526
17	27	1521
18	29	1515
19	30	1512
20	32	1509
21	33	1510
22	35	1511
23	36	1491
24	38	1488
25	39	1487
26	41	1489
27	42	1489
28	44	1485
29	46	1487
30	47	1477
31	48	1474
32	50	1479
33	52	1483
34	53	1482
35	55	1481
36	56	1478
37	58	1475
38	59	1468
39	61	1471
40	63	1475
41	64	1472
42	66	1472
43	67	1474
44	69	1473
45	70	1471
46	72	1470
47	74	1471
48	75	1471
49	77	1465
50	78	1462
51	79	1456
52	81	1458
53	83	1458
54	84	1454
55	86	1450
56	87	1446
57	89	1446
58	90	1441
59	91	1431
60	92	1427
61	94	1424
62	95	1419
63	96	1415
64	98	1417
65	100	1416
66	101	1412
67	102	1409
68	104	1408
69	105	1405
70	107	1401
71	108	1396
72	109	1392
73	110	1384
74	111	1380
75	113	1375
76	114	1374
77	116	1379
78	118	1380
79	119	1379
80	121	1376
81	122	1373
82	124	1374
83	125	1372
84	127	1368
85	128	1366
86	129	1363
87	131	1363
88	133	1362
89	134	1364
90	137	1374
91	139	1375
92	140	1374
93	142	1375
94	144	1374
95	146	1375
96	147	1375
97	149	1376
98	151	1376
99	152	1376
100	154	1376
101	156	1375
102	157	1372
103	159	1370
104	160	1370
105	162	1372
106	164	1373
107	166	1374
108	167	1373
109	169	1370
110	170	1367
111	172	1365
112	173	1362
113	175	1360
114	176	1357
115	177	1354
116	179	1351
117	180	1349
118	181	1346
119	183	1343
120	184	1339
121	185	1335
122	186	1331
123	188	1328
124	189	1324
125	190	1320
126	191	1318
127	193	1316
128	195	1317
129	196	1315
130	197	1313
131	199	1311
132	201	1310
133	202	1308
134	203	1305
135	205	1304
136	206	1302
137	208	1300
138	209	1298
139	211	1296
140	212	1294
141	213	1292
142	215	1289
143	216	1286
144	217	1284
145	219	1281
146	220	1278
147	221	1276
148	223	1274
149	224	1271
150	225	1269
151	227	1267
152	228	1266
153	230	1264
154	231	1261
155	232	1258
156	234	1256
157	235	1254
158	236	1251
159	238	1250
160	239	1248
161	241	1246
162	242	1247
163	244	1246
164	245	1244
165	247	1242
166	248	1240
167	250	1238
168	251	1236
169	253	1235
170	254	1233
171	255	1230
172	257	1228
173	258	1227
174	260	1227
175	261	1225
176	263	1223
177	264	1221
178	265	1218
179	267	1216
180	268	1214
181	269	1212
182	271	1210
183	272	1208
184	273	1207
185	275	1206
186	277	1205
187	278	1203
188	280	1201
189	281	1199
190	282	1198
191	284	1195
192	285	1193
193	286	1191
194	287	1188
195	289	1187
196	291	1186
197	292	1184
198	293	1182
199	295	1180
200	296	1178
201	298	1177
202	299	1175
203	300	1173
204	302	1171
205	303	1168
206	304	1166
207	305	1165
208	307	1164
209	309	1163
210	310	1161
211	312	1160
212	313	1159
213	315	1157
214	316	1156
215	318	1155
216	319	1153
217	320	1151
218	322	1149
219	323	1148
220	325	1147
221	326	1145
222	328	1144
223	330	1143
224	331	1143
225	333	1142
226	334	1140
227	336	1139
228	338	1138
229	339	1136
230	341	1135
231	342	1134
232	344	1133
233	345	1132
234	347	1130
235	349	1130
236	350	1129
237	352	1127
238	353	1126
239	356	1128
240	358	1130
241	360	1128
242	361	1126
243	363	1124
244	364	1122
245	365	1120
246	367	1119
247	368	1117
248	369	1115
249	371	1115
250	373	1114
251	374	1113
252	376	1111
253	377	1109
254	379	1107
255	380	1105
256	381	1103
257	383	1102
258	384	1100
259	386	1099
260	387	1098
261	389	1096
262	390	1094
263	392	1093
264	393	1091
265	394	1089
266	396	1087
267	397	1085
268	398	1083
269	400	1081
270	401	1080
